keyword,language,country,category,confidence,source,added_date
toward,unknown,,auto_extracted,proposed,hs_sweep_freq_5,2026-03-26
affairs,unknown,,auto_extracted,proposed,hs_sweep_freq_5,2026-03-26
salons,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-26
listening,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-26
ears,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-26
cosmetics,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-26
seeing,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-26
isiolo,unknown,,auto_extracted,proposed,hs_sweep_freq_18,2026-03-27
laikipia,unknown,,auto_extracted,proposed,hs_sweep_freq_18,2026-03-27
dangerous,unknown,,auto_extracted,proposed,hs_sweep_freq_18,2026-03-27
murkomen,unknown,,auto_extracted,proposed,hs_sweep_freq_17,2026-03-27
disturbed,unknown,,auto_extracted,proposed,hs_sweep_freq_17,2026-03-27
days,unknown,,auto_extracted,proposed,hs_sweep_freq_11,2026-03-27
counties,unknown,,auto_extracted,proposed,hs_sweep_freq_11,2026-03-27
interior,unknown,,auto_extracted,proposed,hs_sweep_freq_11,2026-03-27
declares,unknown,,auto_extracted,proposed,hs_sweep_freq_10,2026-03-27
kipchumba,unknown,,auto_extracted,proposed,hs_sweep_freq_9,2026-03-27
dirty,unknown,,auto_extracted,proposed,hs_sweep_freq_18,2026-03-27
siave,unknown,,auto_extracted,proposed,hs_sweep_freq_13,2026-03-27
core,unknown,,auto_extracted,proposed,hs_sweep_freq_10,2026-03-27
fucking,unknown,,auto_extracted,proposed,hs_sweep_freq_10,2026-03-27
adoon,unknown,,auto_extracted,proposed,hs_sweep_freq_10,2026-03-27
ensiaved,unknown,,auto_extracted,proposed,hs_sweep_freq_9,2026-03-27
army,unknown,,auto_extracted,proposed,hs_sweep_freq_9,2026-03-27
operation,unknown,,auto_extracted,proposed,hs_sweep_freq_9,2026-03-27
comments,unknown,,auto_extracted,proposed,hs_sweep_freq_8,2026-03-27
glad,unknown,,auto_extracted,proposed,hs_sweep_freq_7,2026-03-27
tasis,unknown,,auto_extracted,proposed,hs_sweep_freq_9,2026-03-28
alliance,unknown,,auto_extracted,proposed,hs_sweep_freq_8,2026-03-28
year,unknown,,auto_extracted,proposed,hs_sweep_freq_6,2026-03-28
today,unknown,,auto_extracted,proposed,hs_sweep_freq_5,2026-03-28
ministry,unknown,,auto_extracted,proposed,hs_sweep_freq_5,2026-03-28
thursday,unknown,,auto_extracted,proposed,hs_sweep_freq_5,2026-03-28
without,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-28
east,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-28
community,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-28
attack,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-28
muslim,unknown,,auto_extracted,proposed,hs_sweep_freq_5,2026-03-28
united,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-28
crying,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-28
qabiil,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-28
within,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-28
individuals,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-28
taban,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-28
militias,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-28
terrorist,unknown,,auto_extracted,proposed,hs_sweep_freq_4,2026-03-28
hate,unknown,,auto_extracted,proposed,hs_sweep_freq_3,2026-03-28
